=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-25_0-7-18
====================================================================================
1:6:57 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8231.744141, 78.796280, 1565.079834>)
1:6:59 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8243.408203, 57.453228, 1532.390991>)
1:7:4 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8224.251953, 95.147827, 1564.888428>)
1:7:7 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8249.653320, 57.451004, 1529.151733>)
1:7:9 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8222.954102, 95.147827, 1567.040161>)
1:7:16 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8227.483398, 88.174004, 1561.479736>)
1:8:16 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8225.446289, 88.174004, 1564.427856>)
1:8:23 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
1:8:45 | "Skullcruncher32" (steamid=76561198378002588) toggled godmode
1:8:49 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8212.104492, -0.648227, 1604.817627>)
1:8:50 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8211.451172, -0.609696, 1605.410522>)
1:8:50 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8210.812500, -0.556790, 1605.977051>)
1:8:50 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8210.221680, -0.535019, 1606.506958>)
1:8:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<8225.203125, 88.176254, 1579.176514>)
1:9:16 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7885.315430, 26.763006, 946.025757>)
1:9:28 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7893.725098, 26.763002, 961.348328>)
